tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
95,2013-12-04,2013,12,4,Wednesday,4,4,False,False,False,False
96,2013-12-05,2013,12,5,Thursday,4,4,False,False,False,False
97,2013-12-06,2013,12,6,Friday,4,4,False,False,False,False
98,2013-12-07,2013,12,7,Saturday,4,4,False,False,False,False
99,2013-12-08,2013,12,8,Sunday,4,4,False,False,False,False
100,2013-12-09,2013,12,9,Monday,4,4,False,False,False,False
101,2013-12-10,2013,12,10,Tuesday,4,4,False,False,False,False
102,2013-12-11,2013,12,11,Wednesday,4,4,False,False,False,False
103,2013-12-12,2013,12,12,Thursday,4,4,False,False,False,False
104,2013-12-13,2013,12,13,Friday,4,4,False,False,False,False
105,2013-12-14,2013,12,14,Saturday,4,4,False,False,False,False
106,2013-12-15,2013,12,15,Sunday,4,4,False,False,False,False
107,2013-12-16,2013,12,16,Monday,4,4,False,False,False,False
108,2013-12-17,2013,12,17,Tuesday,4,4,False,False,False,False
109,2013-12-18,2013,12,18,Wednesday,4,4,False,False,False,False
110,2013-12-19,2013,12,19,Thursday,4,4,False,False,False,False
111,2013-12-20,2013,12,20,Friday,4,4,False,False,False,False
112,2013-12-21,2013,12,21,Saturday,4,4,False,False,False,False
113,2013-12-22,2013,12,22,Sunday,4,4,False,False,False,False
114,2013-12-23,2013,12,23,Monday,4,4,False,False,False,False
115,2013-12-24,2013,12,24,Tuesday,4,4,False,False,False,False
116,2013-12-25,2013,12,25,Wednesday,4,4,False,False,False,True
117,2013-12-26,2013,12,26,Thursday,4,4,False,False,False,False
118,2013-12-27,2013,12,27,Friday,4,4,False,False,False,False
119,2013-12-28,2013,12,28,Saturday,4,4,False,False,False,False
120,2013-12-29,2013,12,29,Sunday,4,4,False,False,False,False
121,2013-12-30,2013,12,30,Monday,4,4,False,False,False,False
122,2013-12-31,2013,12,31,Tuesday,4,4,True,True,True,False
123,2014-01-01,2014,1,1,Wednesday,1,1,False,False,False,True
124,2014-01-02,2014,1,2,Thursday,1,1,False,False,False,False
125,2014-01-03,2014,1,3,Friday,1,1,False,False,False,False
126,2014-01-04,2014,1,4,Saturday,1,1,False,False,False,False
127,2014-01-05,2014,1,5,Sunday,1,1,False,False,False,False
